MED_MNEMONIC	RXCUI	RXNORM_DESCRIPTION	GENERIC	GENERIC_NAME	ATC	LEVEL4_DESCRIPTION	LEVEL3	LEVEL3_DESCRIPTION	LEVEL2	LEVEL2_DESCRIPTION	LEVEL1	LEVEL1_DESCRIPTION
8296	DIPHENHYDRAMINE50 MG	1020477	diphenhydramine hydrochloride 50 MG Oral Capsule	3498	diphenhydramine	R06AA	AMINOALKYL ETHERS	R06A	ANTIHISTAMINES FOR SYSTEMIC USE	R06	ANTIHISTAMINES FOR SYSTEMIC USE	R	RESPIRATORY SYSTEM
8297	FIBERCON625 MG	308934	calcium polycarbophil 625 MG Oral Tablet	20063	calcium polycarbophil	A06AC	BULK-FORMING LAXATIVES	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
8298	POTASSIUM20 MEQ/11	312515	potassium chloride 1.33 MEQ/ML Oral Solution	8591	potassium chloride	A12BA	POTASSIUM	A12B	POTASSIUM	A12	MINERAL SUPPLEMENTS	A	ALIMENTARY TRACT AND METABOLISM
8299	POTASSIUM20 MEQ/11	312515	potassium chloride 1.33 MEQ/ML Oral Solution	8591	potassium chloride	B05XA	ELECTROLYTE SOLUTIONS	B05X	I.V. SOLUTION ADDITIVES	B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	B	BLOOD AND BLOOD FORMING ORGANS
8300	SARNA SENSITIV222 ML	1246075	pramoxine hydrochloride 10 MG/ML Topical Lotion	34347	pramoxine	C05AD	LOCAL ANESTHETICS	C05A	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	C05	VASOPROTECTIVES	C	CARDIOVASCULAR SYSTEM
8301	SARNA SENSITIV222 ML	1246075	pramoxine hydrochloride 10 MG/ML Topical Lotion	34347	pramoxine	D04AB	ANESTHETICS FOR TOPICAL USE	D04A	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D04	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D	DERMATOLOGICALS
8302	ATIVAN 0.5MG T0.5 MG	197900	lorazepam 0.5 MG Oral Tablet	6470	lorazepam	N05BA	BENZODIAZEPINE DERIVATIVES	N05B	ANXIOLYTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
8303	HALDOL DEC100 MG/1 M	1719803	1 ML haloperidol decanoate 100 MG/ML Injection	5093	haloperidol	N05AD	BUTYROPHENONE DERIVATIVES	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
8304	CEFAZOLIN SODIUM1 GM	313929	Cefazolin 330 MG/ML Injectable Solution	2180	cefazolin 1000 MG Injection	J01DB	FIRST-GENERATION CEPHALOSPORINS	J01D	OTHER BETA-LACTAM ANTIBACTERIALS	J01	ANTIBACTERIALS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
8305	TYLENOL325 M1	313782	acetaminophen 325 MG Oral Tablet	161	acetaminophen	N02BE	ANILIDES	N02B	OTHER ANALGESICS AND ANTIPYRETICS	N02	ANALGESICS	N	NERVOUS SYSTEM
8306	BREO ELLIPTA 21 EACH	1648789	30 ACTUAT fluticasone furoate 0.2 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler [Breo]	1424888	fluticasone / vilanterol	R03AK	ADRENERGICS IN COMBINATION WITH CORTICOSTEROIDS OR OTHER DRUGS, EXCL. ANTICHOLINERGICS	R03A	ADRENERGICS, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
8307	VITAMIN D250000 UNIT	1367416	ergocalciferol 1.25 MG Oral Capsule [Drisdol]	4018	ergocalciferol	A11CC	VITAMIN D AND ANALOGUES	A11C	VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO	A11	VITAMINS	A	ALIMENTARY TRACT AND METABOLISM
8308	NOXAFIL200 MG/5 M	665019	posaconazole 40 MG/ML Oral Suspension	282446	posaconazole	J02AC	TRIAZOLE AND TETRAZOLE DERIVATIVES	J02A	ANTIMYCOTICS FOR SYSTEMIC USE	J02	ANTIMYCOTICS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
8309	COZAAR 50 MG TA50 MG	979494	losartan potassium 50 MG Oral Tablet [Cozaar]	52175	losartan	C09CA	ANGIOTENSIN II RECEPTOR BLOCKERS (ARBS), PLAIN	C09C	ANGIOTENSIN II RECEPTOR BLOCKERS (ARBS), PLAIN	C09	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	C	CARDIOVASCULAR SYSTEM
8310	SYSTANE NIGHTT3.5 GM	827713	mineral oil 0.03 MG/MG / petrolatum 0.94 MG/MG Ophthalmic Ointment [Systane Nighttime]	691286	mineral oil / petrolatum	S01XA	OTHER OPHTHALMOLOGICALS	S01X	OTHER OPHTHALMOLOGICALS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
8311	LASIX 20 MG TAB20 MG	310429	furosemide 20 MG Oral Tablet	4603	furosemide	C03CA	SULFONAMIDES, PLAIN	C03C	HIGH-CEILING DIURETICS	C03	DIURETICS	C	CARDIOVASCULAR SYSTEM
8312	LUMIGAN2.5 M1	1009339	bimatoprost 0.1 MG/ML Ophthalmic Solution	283810	bimatoprost	S01EE	PROSTAGLANDIN ANALOGUES	S01E	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
8313	ASPERCREME1 EACH	1012994	lidocaine hydrochloride 0.04 MG/MG Medicated Patch	6387	lidocaine	C01BB	ANTIARRHYTHMICS, CLASS IB	C01B	ANTIARRHYTHMICS, CLASS I AND III	C01	CARDIAC THERAPY	C	CARDIOVASCULAR SYSTEM
8314	ASPERCREME1 EACH	1012994	lidocaine hydrochloride 0.04 MG/MG Medicated Patch	6387	lidocaine	C05AD	LOCAL ANESTHETICS	C05A	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	C05	VASOPROTECTIVES	C	CARDIOVASCULAR SYSTEM
8315	ASPERCREME1 EACH	1012994	lidocaine hydrochloride 0.04 MG/MG Medicated Patch	6387	lidocaine	D04AB	ANESTHETICS FOR TOPICAL USE	D04A	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D04	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D	DERMATOLOGICALS
8316	ASPERCREME1 EACH	1012994	lidocaine hydrochloride 0.04 MG/MG Medicated Patch	6387	lidocaine	N01BB	AMIDES	N01B	ANESTHETICS, LOCAL	N01	ANESTHETICS	N	NERVOUS SYSTEM
8317	ASPERCREME1 EACH	1012994	lidocaine hydrochloride 0.04 MG/MG Medicated Patch	6387	lidocaine	R02AD	ANESTHETICS, LOCAL	R02A	THROAT PREPARATIONS	R02	THROAT PREPARATIONS	R	RESPIRATORY SYSTEM
8318	ASPERCREME1 EACH	1012994	lidocaine hydrochloride 0.04 MG/MG Medicated Patch	6387	lidocaine	S01HA	LOCAL ANESTHETICS	S01H	LOCAL ANESTHETICS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
8319	ASPERCREME1 EACH	1012994	lidocaine hydrochloride 0.04 MG/MG Medicated Patch	6387	lidocaine	S02DA	ANALGESICS AND ANESTHETICS	S02D	OTHER OTOLOGICALS	S02	OTOLOGICALS	S	SENSORY ORGANS
8320	DEPAKOTE250 MG	1099678	divalproex sodium 250 MG Delayed Release Oral Tablet	40254	valproate	N03AG	FATTY ACID DERIVATIVES	N03A	ANTIEPILEPTICS	N03	ANTIEPILEPTICS	N	NERVOUS SYSTEM
8321	TOPROL XL25 MG	866429	24 HR metoprolol succinate 25 MG Extended Release Oral Tablet [Toprol]	6918	metoprolol	C07AB	BETA BLOCKING AGENTS, SELECTIVE	C07A	BETA BLOCKING AGENTS	C07	BETA BLOCKING AGENTS	C	CARDIOVASCULAR SYSTEM
8322	TOPROL XL50 MG	866436	24 HR metoprolol succinate 50 MG Extended Release Oral Tablet	6918	metoprolol	C07AB	BETA BLOCKING AGENTS, SELECTIVE	C07A	BETA BLOCKING AGENTS	C07	BETA BLOCKING AGENTS	C	CARDIOVASCULAR SYSTEM
8323	NUVIGIL50 MG	724863	armodafinil 50 MG Oral Tablet	641465	armodafinil	N06BA	CENTRALLY ACTING SYMPATHOMIMETICS	N06B	PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
8324	ATIVAN1 MG	197901	lorazepam 1 MG Oral Tablet	6470	lorazepam	N05BA	BENZODIAZEPINE DERIVATIVES	N05B	ANXIOLYTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
8325	LIDO30AD	1745091	lidocaine 0.05 MG/MG Medicated Patch	6387	lidocaine	C01BB	ANTIARRHYTHMICS, CLASS IB	C01B	ANTIARRHYTHMICS, CLASS I AND III	C01	CARDIAC THERAPY	C	CARDIOVASCULAR SYSTEM
8326	LIDO30AD	1745091	lidocaine 0.05 MG/MG Medicated Patch	6387	lidocaine	C05AD	LOCAL ANESTHETICS	C05A	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	C05	VASOPROTECTIVES	C	CARDIOVASCULAR SYSTEM
8327	LIDO30AD	1745091	lidocaine 0.05 MG/MG Medicated Patch	6387	lidocaine	D04AB	ANESTHETICS FOR TOPICAL USE	D04A	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D04	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D	DERMATOLOGICALS
8328	LIDO30AD	1745091	lidocaine 0.05 MG/MG Medicated Patch	6387	lidocaine	N01BB	AMIDES	N01B	ANESTHETICS, LOCAL	N01	ANESTHETICS	N	NERVOUS SYSTEM
8329	LIDO30AD	1745091	lidocaine 0.05 MG/MG Medicated Patch	6387	lidocaine	R02AD	ANESTHETICS, LOCAL	R02A	THROAT PREPARATIONS	R02	THROAT PREPARATIONS	R	RESPIRATORY SYSTEM
8330	LIDO30AD	1745091	lidocaine 0.05 MG/MG Medicated Patch	6387	lidocaine	S01HA	LOCAL ANESTHETICS	S01H	LOCAL ANESTHETICS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
8331	LIDO30AD	1745091	lidocaine 0.05 MG/MG Medicated Patch	6387	lidocaine	S02DA	ANALGESICS AND ANESTHETICS	S02D	OTHER OTOLOGICALS	S02	OTOLOGICALS	S	SENSORY ORGANS
8332	ARIXTRA 2.5MG INJ	861360	0.5 ML fondaparinux sodium 5 MG/ML Prefilled Syringe	321208	fondaparinux	B01AX	OTHER ANTITHROMBOTIC AGENTS	B01A	ANTITHROMBOTIC AGENTS	B01	ANTITHROMBOTIC AGENTS	B	BLOOD AND BLOOD FORMING ORGANS
8333	DIGITEK125 MCG	197604	digoxin 0.125 MG Oral Tablet	3407	digoxin	C01AA	DIGITALIS GLYCOSIDES	C01A	CARDIAC GLYCOSIDES	C01	CARDIAC THERAPY	C	CARDIOVASCULAR SYSTEM
8334	K-TAB10 MEQ	1801298	Microencapsulated potassium chloride 10 MEQ Extended Release Oral Tablet	8591	potassium chloride	A12BA	POTASSIUM	A12B	POTASSIUM	A12	MINERAL SUPPLEMENTS	A	ALIMENTARY TRACT AND METABOLISM
8335	K-TAB10 MEQ	1801298	Microencapsulated potassium chloride 10 MEQ Extended Release Oral Tablet	8591	potassium chloride	B05XA	ELECTROLYTE SOLUTIONS	B05X	I.V. SOLUTION ADDITIVES	B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	B	BLOOD AND BLOOD FORMING ORGANS
8336	CALCITRIOL0.25 MCG	308867	calcitriol 0.00025 MG Oral Capsule	1894	calcitriol	A11CC	VITAMIN D AND ANALOGUES	A11C	VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO	A11	VITAMINS	A	ALIMENTARY TRACT AND METABOLISM
8337	CALCITRIOL0.25 MCG	308867	calcitriol 0.00025 MG Oral Capsule	1894	calcitriol	D05AX	OTHER ANTIPSORIATICS FOR TOPICAL USE	D05A	ANTIPSORIATICS FOR TOPICAL USE	D05	ANTIPSORIATICS	D	DERMATOLOGICALS
8338	TRESIBA 100 UNITS/ML	2107522	insulin degludec 100 UNT/ML Injectable Solution [Tresiba]	1670007	insulin degludec	A10AE	INSULINS AND ANALOGUES FOR INJECTION, LONG-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
8339	VORTIOXETINE 10MG	1790886	vortioxetine 10 MG Oral Tablet [Trintellix]	1455099	vortioxetine	N06AX	OTHER ANTIDEPRESSANTS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
8340	LEVOXYL 75MCG	966222	levothyroxine sodium 0.075 MG Oral Tablet	10582	levothyroxine	H03AA	THYROID HORMONES	H03A	THYROID PREPARATIONS	H03	THYROID THERAPY	H	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
8341	ESTER-C500 MG	830785	calcium ascorbate 500 MG Oral Tablet	142407	calcium ascorbate	B03AE	IRON IN OTHER COMBINATIONS	B03A	IRON PREPARATIONS	B03	ANTIANEMIC PREPARATIONS	B	BLOOD AND BLOOD FORMING ORGANS
8342	ESTER-C500 MG	830785	calcium ascorbate 500 MG Oral Tablet	142407	calcium ascorbate	A11JB	VITAMINS WITH MINERALS	A11J	OTHER VITAMIN PRODUCTS, COMBINATIONS	A11	VITAMINS	A	ALIMENTARY TRACT AND METABOLISM
8343	RISPERDAL50 MG/2 ML	706829	risperidone 50 MG Injection [Risperdal]	35636	risperidone	N05AX	OTHER ANTIPSYCHOTICS	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
8344	GLUC500	861007	metformin hydrochloride 500 MG Oral Tablet	6809	metformin	A10BA	BIGUANIDES	A10B	BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
8345	ROZEREM8TAB	603162	ramelteon 8 MG Oral Tablet [Rozerem]	596205	ramelteon	N05CH	MELATONIN RECEPTOR AGONISTS	N05C	HYPNOTICS AND SEDATIVES	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
8346	LORAZEPAM 2MG2 MG/ML	311376	lorazepam 2 MG/ML Oral Solution	6470	lorazepam	N05BA	BENZODIAZEPINE DERIVATIVES	N05B	ANXIOLYTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
8347	SINEMET 25-1001 EACH	197444	carbidopa 25 MG / levodopa 100 MG Oral Tablet	103990	carbidopa / levodopa	N04BA	DOPA AND DOPA DERIVATIVES	N04B	DOPAMINERGIC AGENTS	N04	ANTI-PARKINSON DRUGS	N	NERVOUS SYSTEM
8348	RESTASIS32 EA	351291	cyclosporine 0.5 MG/ML Ophthalmic Suspension	3008	cyclosporine	L04AD	CALCINEURIN INHIBITORS	L04A	IMMUNOSUPPRESSANTS	L04	IMMUNOSUPPRESSANTS	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
8349	RESTASIS32 EA	351291	cyclosporine 0.5 MG/ML Ophthalmic Suspension	3008	cyclosporine	S01XA	OTHER OPHTHALMOLOGICALS	S01X	OTHER OPHTHALMOLOGICALS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
8350	FANAPT12 MG	848732	iloperidone 12 MG Oral Tablet	73178	iloperidone	N05AX	OTHER ANTIPSYCHOTICS	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
8351	SINGULAIR 10MG10 MG	200224	montelukast 10 MG Oral Tablet	88249	montelukast	R03DC	LEUKOTRIENE RECEPTOR ANTAGONISTS	R03D	OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
8352	PRIMIDONE50 MG	198150	primidone 50 MG Oral Tablet	8691	primidone	N03AA	BARBITURATES AND DERIVATIVES	N03A	ANTIEPILEPTICS	N03	ANTIEPILEPTICS	N	NERVOUS SYSTEM
8353	FERROUS SU300 MG/5 M	310323	ferrous sulfate 60 MG/ML Oral Solution	24947	ferrous sulfate	B03AA	IRON BIVALENT, ORAL PREPARATIONS	B03A	IRON PREPARATIONS	B03	ANTIANEMIC PREPARATIONS	B	BLOOD AND BLOOD FORMING ORGANS
8354	DOC-Q-LACE100 MG	1115005	docusate sodium 100 MG Oral Capsule	82003	docusate	B03AE	IRON IN OTHER COMBINATIONS	B03A	IRON PREPARATIONS	B03	ANTIANEMIC PREPARATIONS	B	BLOOD AND BLOOD FORMING ORGANS
8355	DOC-Q-LACE100 MG	1115005	docusate sodium 100 MG Oral Capsule	82003	docusate	A06AA	SOFTENERS, EMOLLIENTS	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
8356	DOC-Q-LACE100 MG	1115005	docusate sodium 100 MG Oral Capsule	82003	docusate	A06AG	ENEMAS	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
8357	DOC-Q-LACE100 MG	1115005	docusate sodium 100 MG Oral Capsule	82003	docusate	A06AB	CONTACT LAXATIVES	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
8358	DOC-Q-LACE100 MG	1115005	docusate sodium 100 MG Oral Capsule	82003	docusate	A11AB	MULTIVITAMINS, OTHER COMBINATIONS	A11A	MULTIVITAMINS, COMBINATIONS	A11	VITAMINS	A	ALIMENTARY TRACT AND METABOLISM
8359	ACID1CAP2	1658108	Lactobacillus acidophilus 75000000 UNT / pectin 100 MG Oral Capsule	1007740	Lactobacillus acidophilus / pectin	A07BC	OTHER INTESTINAL ADSORBENTS	A07B	INTESTINAL ADSORBENTS	A07	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	A	ALIMENTARY TRACT AND METABOLISM
8360	MICRO-K 1010 MEQ	312504	potassium chloride 10 MEQ Extended Release Oral Capsule	8591	potassium chloride	A12BA	POTASSIUM	A12B	POTASSIUM	A12	MINERAL SUPPLEMENTS	A	ALIMENTARY TRACT AND METABOLISM
8361	MICRO-K 1010 MEQ	312504	potassium chloride 10 MEQ Extended Release Oral Capsule	8591	potassium chloride	B05XA	ELECTROLYTE SOLUTIONS	B05X	I.V. SOLUTION ADDITIVES	B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	B	BLOOD AND BLOOD FORMING ORGANS
8362	COLACE 100MG C100 MG	1483571	docusate sodium 100 MG Oral Capsule [DOK]	82003	docusate	B03AE	IRON IN OTHER COMBINATIONS	B03A	IRON PREPARATIONS	B03	ANTIANEMIC PREPARATIONS	B	BLOOD AND BLOOD FORMING ORGANS
8363	COLACE 100MG C100 MG	1483571	docusate sodium 100 MG Oral Capsule [DOK]	82003	docusate	A06AA	SOFTENERS, EMOLLIENTS	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
8364	COLACE 100MG C100 MG	1483571	docusate sodium 100 MG Oral Capsule [DOK]	82003	docusate	A06AG	ENEMAS	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
8365	COLACE 100MG C100 MG	1483571	docusate sodium 100 MG Oral Capsule [DOK]	82003	docusate	A06AB	CONTACT LAXATIVES	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
8366	COLACE 100MG C100 MG	1483571	docusate sodium 100 MG Oral Capsule [DOK]	82003	docusate	A11AB	MULTIVITAMINS, OTHER COMBINATIONS	A11A	MULTIVITAMINS, COMBINATIONS	A11	VITAMINS	A	ALIMENTARY TRACT AND METABOLISM
8367	LANTUS (IN100 UNITS/	285018	insulin glargine 100 UNT/ML Injectable Solution [Lantus]	274783	insulin glargine	A10AE	INSULINS AND ANALOGUES FOR INJECTION, LONG-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
8368	ACIDOPHILUS X-S1 TAB	701577	Bacillus coagulans 50000000 UNT / Lactobacillus acidophilus 70000000 UNT Oral Tablet	1007758	Bacillus coagulans / Lactobacillus acidophilus	NA	NA	NA	NA	NA	NA	NA	NA
8369	LIDODERM700 MG	1011705	lidocaine 0.05 MG/MG Medicated Patch [Lidoderm]	6387	lidocaine	C01BB	ANTIARRHYTHMICS, CLASS IB	C01B	ANTIARRHYTHMICS, CLASS I AND III	C01	CARDIAC THERAPY	C	CARDIOVASCULAR SYSTEM
8370	LIDODERM700 MG	1011705	lidocaine 0.05 MG/MG Medicated Patch [Lidoderm]	6387	lidocaine	C05AD	LOCAL ANESTHETICS	C05A	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	C05	VASOPROTECTIVES	C	CARDIOVASCULAR SYSTEM
8371	LIDODERM700 MG	1011705	lidocaine 0.05 MG/MG Medicated Patch [Lidoderm]	6387	lidocaine	D04AB	ANESTHETICS FOR TOPICAL USE	D04A	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D04	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D	DERMATOLOGICALS
8372	LIDODERM700 MG	1011705	lidocaine 0.05 MG/MG Medicated Patch [Lidoderm]	6387	lidocaine	N01BB	AMIDES	N01B	ANESTHETICS, LOCAL	N01	ANESTHETICS	N	NERVOUS SYSTEM
8373	LIDODERM700 MG	1011705	lidocaine 0.05 MG/MG Medicated Patch [Lidoderm]	6387	lidocaine	R02AD	ANESTHETICS, LOCAL	R02A	THROAT PREPARATIONS	R02	THROAT PREPARATIONS	R	RESPIRATORY SYSTEM
8374	LIDODERM700 MG	1011705	lidocaine 0.05 MG/MG Medicated Patch [Lidoderm]	6387	lidocaine	S01HA	LOCAL ANESTHETICS	S01H	LOCAL ANESTHETICS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
8375	LIDODERM700 MG	1011705	lidocaine 0.05 MG/MG Medicated Patch [Lidoderm]	6387	lidocaine	S02DA	ANALGESICS AND ANESTHETICS	S02D	OTHER OTOLOGICALS	S02	OTOLOGICALS	S	SENSORY ORGANS
8376	SODIUMCL1GM	313009	sodium chloride 1000 MG Oral Tablet	9863	sodium chloride	A12CA	SODIUM	A12C	OTHER MINERAL SUPPLEMENTS	A12	MINERAL SUPPLEMENTS	A	ALIMENTARY TRACT AND METABOLISM
8377	SODIUMCL1GM	313009	sodium chloride 1000 MG Oral Tablet	9863	sodium chloride	B05CB	SALT SOLUTIONS	B05C	IRRIGATING SOLUTIONS	B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	B	BLOOD AND BLOOD FORMING ORGANS
8378	SODIUMCL1GM	313009	sodium chloride 1000 MG Oral Tablet	9863	sodium chloride	B05XA	ELECTROLYTE SOLUTIONS	B05X	I.V. SOLUTION ADDITIVES	B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	B	BLOOD AND BLOOD FORMING ORGANS
8379	ULTRAM50 MG	835605	tramadol hydrochloride 50 MG Oral Tablet [Ultram]	10689	tramadol	N02AX	OTHER OPIOIDS	N02A	OPIOIDS	N02	ANALGESICS	N	NERVOUS SYSTEM
8380	NAMENDA XR28 MG	996611	24 HR memantine hydrochloride 28 MG Extended Release Oral Capsule [Namenda]	6719	memantine	N06DX	OTHER ANTI-DEMENTIA DRUGS	N06D	ANTI-DEMENTIA DRUGS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
8381	BISAC-EVAC10 MG/SUPP	209598	bisacodyl 10 MG Rectal Suppository [Bisco-Lax]	1596	bisacodyl	A06AG	ENEMAS	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
8382	SENOKOT8.6 MG	404186	sennosides, USP 8.6 MG Oral Tablet [Senokot]	36387	sennosides, USP	A06AB	CONTACT LAXATIVES	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
8383	RISPERDAL1 MG	312830	risperidone 1 MG Oral Tablet	35636	risperidone	N05AX	OTHER ANTIPSYCHOTICS	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
8384	ANAFRANIL50 MG	857301	clomipramine hydrochloride 50 MG Oral Capsule	2597	clomipramine	N06AA	NON-SELECTIVE MONOAMINE REUPTAKE INHIBITORS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
8385	CALCIUM 600 +1 EAC3	1088800	calcium carbonate 600 MG / cholecalciferol 125 UNT Oral Tablet	608343	calcium carbonate / cholecalciferol	A12AX	CALCIUM, COMBINATIONS WITH VITAMIN D AND/OR OTHER DRUGS	A12A	CALCIUM	A12	MINERAL SUPPLEMENTS	A	ALIMENTARY TRACT AND METABOLISM
8386	B20211120055740611	1736863	3 ML insulin glargine 100 UNT/ML Pen Injector [Basaglar]	274783	insulin glargine	A10AE	INSULINS AND ANALOGUES FOR INJECTION, LONG-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
8387	HYDROCHLOROTHI12.5	429503	hydrochlorothiazide 12.5 MG Oral Tablet	5487	hydrochlorothiazide	C03AA	THIAZIDES, PLAIN	C03A	LOW-CEILING DIURETICS, THIAZIDES	C03	DIURETICS	C	CARDIOVASCULAR SYSTEM
8388	LIPITOR (NON-FO40 MG	617311	atorvastatin 40 MG Oral Tablet	83367	atorvastatin	C10AA	HMG COA REDUCTASE INHIBITORS	C10A	LIPID MODIFYING AGENTS, PLAIN	C10	LIPID MODIFYING AGENTS	C	CARDIOVASCULAR SYSTEM
8389	MORPHINE S20 MG/1 ML	892625	morphine sulfate 20 MG/ML Oral Solution	7052	morphine	N02AA	NATURAL OPIUM ALKALOIDS	N02A	OPIOIDS	N02	ANALGESICS	N	NERVOUS SYSTEM
8390	HYDROCHLOROTHIA25 M1	310798	hydrochlorothiazide 25 MG Oral Tablet	5487	hydrochlorothiazide	C03AA	THIAZIDES, PLAIN	C03A	LOW-CEILING DIURETICS, THIAZIDES	C03	DIURETICS	C	CARDIOVASCULAR SYSTEM
8391	CEFTIN500 MG	309098	cefuroxime 500 MG Oral Tablet	2194	cefuroxime	J01DC	SECOND-GENERATION CEPHALOSPORINS	J01D	OTHER BETA-LACTAM ANTIBACTERIALS	J01	ANTIBACTERIALS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
8392	CEFTIN500 MG	309098	cefuroxime 500 MG Oral Tablet	2194	cefuroxime	S01AA	ANTIBIOTICS	S01A	ANTIINFECTIVES	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
